Model,Dataset,Dataset/Model,Run,eval/accuracy,eval/loss,eval/runtime,eval/samples_per_second,eval/steps_per_second,train/epoch,train/global_step,train/learning_rate,train/loss,train/total_flos,train/train_loss,train/train_runtime,train/train_samples_per_second,train/train_steps_per_second
,,,1,0.9924,0.02032,14.7298,678.897,2.716,38,8.93,0.00087,0.2232,2.3e+19,0.2702,4.74839,3.79076,14.847
,,,2,0.9927,0.02067,14.5165,688.869,2.755,24,5.64,0.00092,0.2447,1.45e+19,0.29514,3.01295,5.97421,23.399
,,,3,0.9951,0.01596,14.7037,680.102,2.72,33,7.755,0.00089,0.2327,2e+19,0.28048,4.26319,4.22219,16.537
,,,4,0.9935,0.01898,15.1019,662.17,2.649,35,8.225,0.00088,0.223,2.12e+19,0.27412,4.38137,4.10831,16.091
,,,5,0.9937,0.01975,14.4018,694.356,2.777,31,7.285,0.0009,0.2285,1.88e+19,0.2821,3.86247,4.66024,18.253
,,,6,0.9909,0.02806,14.5405,687.733,2.751,22,5.17,0.00093,0.2446,1.33e+19,0.30265,2.82516,6.37131,24.954
,,,7,0.9947,0.01551,14.4275,693.123,2.772,31,7.285,0.0009,0.2269,1.88e+19,0.28027,3.99164,4.50943,17.662
,,,8,0.9937,0.01873,14.5195,688.729,2.755,29,6.815,0.0009,0.2325,1.76e+19,0.28556,3.72441,4.83297,18.929
,,,9,0.9932,0.01992,14.5757,686.074,2.744,36,8.46,0.00088,0.2153,2.18e+19,0.27254,4.51834,3.98377,15.603
,,,10,0.9934,0.02154,14.73395,693.073,2.772,28,6.58,0.00091,0.2374,1.7e+19,0.2879,3.52094,5.11227,20.023
,,,1,0.72299,1.02763,20.3304,35.513,0.148,22,242,0.00094,0.3098,6.22e+17,0.46558,1.81189,462.941,1.821
,,,2,0.77701,0.80556,20.3926,35.405,0.147,27,297,0.00094,0.3184,7.64e+17,0.43431,2.24832,373.078,1.468
,,,3,0.73823,0.82956,20.1657,35.803,0.149,20,220,0.00094,0.3124,5.66e+17,0.48874,1.66697,503.188,1.98
,,,4,0.74377,0.83118,20.3386,35.499,0.148,22,242,0.00094,0.3019,6.22e+17,0.47376,1.83986,455.904,1.794
,,,5,0.70914,1.02662,20.4162,35.364,0.147,16,176,0.00097,0.7008,4.53e+17,0.53797,1.33422,628.682,2.473
,,,6,0.77562,0.78709,20.3512,35.477,0.147,29,319,0.00091,0.2471,8.2e+17,0.40704,2.41323,347.584,1.367
,,,7,0.76454,0.81773,20.3222,35.528,0.148,38,418,0.00088,0.202,1.07e+18,0.35585,3.16035,265.414,1.044
,,,8,0.75762,0.75143,20.2567,35.642,0.148,33,363,0.00091,0.252,9.33e+17,0.38776,2.72276,308.07,1.212
,,,9,0.79086,0.82116,20.0615,35.989,0.15,32,352,0.00091,0.2454,9.05e+17,0.38867,2.63336,318.528,1.253
,,,10,0.95123,0.75208,19.979,36.138,0.15,21,231,0.00094,0.3161,5.94e+17,0.48097,1.72738,485.59,1.91
,,,1,0.64437,1.42508,116.738,193.759,0.762,26,5.356,0.00091,0.7931,1.39e+19,1.26165,9.52429,1.65691,6.489
,,,2,0.65273,1.41005,118.2209,191.328,0.753,27,5.562,0.00091,0.7732,1.44e+19,1.24171,9.90005,1.59402,6.242
,,,3,0.64008,1.41831,116.7017,193.819,0.763,25,5.15,0.00092,0.8184,1.33e+19,1.27676,9.17916,1.71921,6.733
,,,4,0.62359,1.43183,116.7515,193.736,0.762,20,4.12,0.00093,0.9226,1.07e+19,1.38505,7.31097,2.15852,8.453
,,,5,0.63796,1.42,116.5449,194.08,0.764,24,4.944,0.00092,0.8445,1.28e+19,1.29914,8.7547,1.80256,7.059
,,,6,0.64419,1.42573,116.7847,193.681,0.762,26,5.356,0.00091,0.7788,1.39e+19,1.26213,9.52444,1.65688,6.489
,,,7,0.64459,1.41796,117.301,192.829,0.759,25,5.15,0.00092,0.8136,1.33e+19,1.27595,9.20559,1.71427,6.713
,,,8,0.65096,1.41956,117.752,192.09,0.756,26,5.356,0.00091,0.788,1.39e+19,1.25565,9.53433,1.65517,6.482
,,,9,0.63597,1.43101,117.1404,193.093,0.76,24,4.944,0.00092,0.8472,1.28e+19,1.29879,8.79317,1.79468,7.028
,,,10,0.63734,1.43587,117.3426,192.76,0.758,24,4944,0.00092,0.8249,1.28e+19,1.297,8808.464,1791.561,7.016
,,,1,0.81163,0.62806,19.6727,36.701,0.152,20,220,0.00094,0.2153,5.66e+17,0.43069,1.61724,518.66,2.041
,,,2,0.79501,0.67733,19.6555,36.733,0.153,18,198,0.00097,0.7098,5.09e+17,0.46578,1.45057,578.257,2.275
,,,3,0.82133,0.64454,19.7896,36.484,0.152,28,308,0.00091,0.1697,7.92e+17,0.36623,2.24948,372.886,1.467
,,,4,0.8144,0.64064,19.7675,36.525,0.152,21,231,0.00094,0.22,5.94e+17,0.43088,1.68857,496.753,1.954
,,,5,0.79363,0.68351,19.7725,36.515,0.152,18,198,0.00097,0.7119,5.09e+17,0.46643,1.45106,578.062,2.274
,,,6,0.80609,0.63948,19.7033,36.644,0.152,19,209,0.00094,0.2152,5.37e+17,0.45449,1.52959,548.383,2.157
,,,7,0.81025,0.67215,19.6457,36.751,0.153,24,264,0.00094,0.2166,6.79e+17,0.39728,1.93595,433.276,1.705
,,,8,0.82825,0.67296,19.7944,36.475,0.152,30,330,0.00091,0.1653,8.48e+17,0.34634,2.41516,347.306,1.366
,,,9,0.8144,0.67799,19.6782,36.69,0.152,39,429,0.00088,0.1491,1.1e+18,0.29933,3.1356,267.508,1.052
,,,10,0.79778,0.6794,19.7814,36.499,0.152,25,275,0.00094,0.2159,7.07e+17,0.38946,2.01351,416.586,1.639
,,,1,0.9942,0.01733,35.8062,279.281,1.117,72,16.92,0.00076,0.2473,3.35e+20,0.34603,37.90375,474.887,1.86
,,,2,0.9906,0.03034,35.6743,280.314,1.121,38,8.93,0.00087,0.3203,1.77e+20,0.51657,19.96685,901.494,3.531
,,,3,0.9915,0.02704,36.0435,277.442,1.11,36,8.46,0.00088,0.2657,1.67e+20,0.34772,19.10704,942.061,3.69
,,,4,0.9905,0.03027,35.9457,278.198,1.113,40,9.4,0.00087,0.2902,1.86e+20,0.34866,21.20477,848.865,3.325
,,,5,0.991,0.02905,35.796,279.361,1.117,24,5.64,0.00092,0.3126,1.12e+20,0.37274,12.70741,1.4165,5.548
,,,6,0.9918,0.02371,35.7327,279.856,1.119,42,9.87,0.00086,0.2596,1.95e+20,0.33421,22.08092,815.183,3.193
,,,7,0.9934,0.02199,35.51,281.611,1.126,85,19.975,0.00072,0.2442,3.95e+20,0.38586,44.69612,402.72,1.577
,,,8,0.9912,0.02763,36.305,275.444,1.102,47,11.045,0.00084,0.2611,2.19e+20,0.3371,5.84792,731.218,2.827
,,,9,0.9946,0.01641,35.8946,278.594,1.114,54,12.69,0.00082,0.2552,2.51e+20,0.36678,28.47034,632.237,2.476
,,,10,0.992,0.02267,35.312,283.193,1.133,47,11.045,0.00084,0.2524,2.19e+20,0.3226,24.78044,726.379,2.845
,,,1,0.81717,0.58984,21.4832,33.608,0.14,40,440,0.00088,0.1707,8.67e+18,0.37883,4.08479,205.347,0.808
,,,2,0.82133,0.58294,21.1679,34.108,0.142,25,275,0.00094,0.294,5.42e+18,0.49772,2.57593,325.63,1.281
,,,3,0.81994,0.58404,21.0312,34.33,0.143,33,363,0.00091,0.2197,7.15e+18,0.46446,3.40451,246.379,0.969
,,,4,0.8241,0.59119,21.4014,33.736,0.14,25,275,0.00094,0.2771,5.42e+18,0.49278,2.57933,325.201,1.279
,,,5,0.81302,0.60565,21.1115,34.199,0.142,27,297,0.00094,0.298,5.85e+18,0.50338,2.7842,301.271,1.185
,,,6,0.81856,0.62925,21.6606,33.332,0.139,21,231,0.00094,0.2835,4.55e+18,0.58844,2.16832,386.843,1.522
,,,7,0.84349,0.58106,20.9371,34.484,0.143,33,363,0.00091,0.2172,7.15e+18,0.45318,3.3374,251.333,0.989
,,,8,0.80332,0.58118,20.7883,34.731,0.144,23,253,0.00094,0.2852,4.99e+18,0.51018,2.32093,361.407,1.422
,,,9,0.8144,0.64262,20.8261,34.668,0.144,24,264,0.00094,0.2885,5.2e+18,0.51469,2.42281,346.209,1.362
,,,10,0.79917,0.65852,20.7556,34.786,0.145,23,253,0.00094,0.2843,4.99e+18,0.54213,2.3557,356.073,1.401
,,,1,0.64021,1.3557,156.45,144.577,0.569,17,3.502,0.00094,0.6806,6.94e+19,1.10621,12.52378,1.26008,4.935
,,,2,0.64048,1.36015,161.8385,139.763,0.55,19,3.914,0.00094,0.6312,7.75e+19,1.05684,14.01734,1.12581,4.409
,,,3,0.63509,1.35775,157.5616,143.557,0.565,17,3.502,0.00094,0.6907,6.94e+19,1.10479,12.59636,1.25281,4.906
,,,4,0.6472,1.33216,157.2028,143.884,0.566,20,4.12,0.00093,0.6009,8.16e+19,1.02887,14.72564,1.07166,4.197
,,,5,0.64216,1.36687,156.7282,144.32,0.568,20,4.12,0.00093,0.6257,8.16e+19,1.03416,14.72476,1.07173,4.197
,,,6,0.6384,1.34175,157.122,143.958,0.566,16,3.296,0.00095,0.6859,6.53e+19,1.13681,11.79018,1.33848,5.242
,,,7,0.64605,1.35728,156.257,144.755,0.57,19,3.914,0.00094,1.0503,7.75e+19,1.0503,14.1551,1.11486,4.366
,,,8,0.64061,1.34045,157.2929,143.802,0.566,18,3.708,0.00094,0.6611,7.34e+19,1.07029,13.28526,1.18785,4.652
,,,9,0.65321,1.33453,157.4974,143.615,0.565,20,4.12,0.00093,0.6196,8.16e+19,1.03337,14.7652,1.06879,4.186
,,,10,0.63053,1.35535,156.84,144.217,0.567,15,3.09,0.00095,0.7091,6.12e+19,1.16175,11.07394,1.42505,5.581
,,,1,0.8241,0.52841,21.1126,34.198,0.142,23,253,0.00094,0.2101,4.99e+18,0.37368,2.36788,354.241,1.394
,,,2,0.83795,0.54155,21.4121,33.719,0.14,20,220,0.00094,0.2033,4.34e+18,0.40607,2.05301,408.571,1.607
