Type;Dataset;Run;eval/accuracy;eval/loss;eval/runtime;eval/samples_per_second;eval/steps_per_second;train/epoch;train/global_step;train/learning_rate;train/loss;train/total_flos;train/train_loss;train/train_runtime;train/train_samples_per_second;train/train_steps_per_second
CNN;Mnist;1;0.99240;0.02032;14.72980;678.89700;2.71600;38.00000;8,930.00000;0.00087;0.22320;2.30E+19;0.27020;4,748.38830;3,790.76000;14.84700
CNN;Mnist;2;0.99270;0.02067;14.51650;688.86900;2.75500;24.00000;5,640.00000;0.00092;0.24470;1.45E+19;0.29514;3,012.95120;5,974.20900;23.39900
CNN;Mnist;3;0.99510;0.01596;14.70370;680.10200;2.72000;33.00000;7,755.00000;0.00089;0.23270;2.00E+19;0.28048;4,263.19300;4,222.18700;16.53700
CNN;Mnist;4;0.99350;0.01898;15.10190;662.17000;2.64900;35.00000;8,225.00000;0.00088;0.22300;2.12E+19;0.27412;4,381.36850;4,108.30500;16.09100
CNN;Mnist;5;0.99370;0.01975;14.40180;694.35600;2.77700;31.00000;7,285.00000;0.00090;0.22850;1.88E+19;0.28210;3,862.46560;4,660.23600;18.25300
CNN;Mnist;6;0.99090;0.02806;14.54050;687.73300;2.75100;22.00000;5,170.00000;0.00093;0.24460;1.33E+19;0.30265;2,825.16340;6,371.31300;24.95400
CNN;Mnist;7;0.99470;0.01551;14.42750;693.12300;2.77200;31.00000;7,285.00000;0.00090;0.22690;1.88E+19;0.28027;3,991.63580;4,509.42900;17.66200
CNN;Mnist;8;0.99370;0.01873;14.51950;688.72900;2.75500;29.00000;6,815.00000;0.00090;0.23250;1.76E+19;0.28556;3,724.41450;4,832.97400;18.92900
CNN;Mnist;9;0.99320;0.01992;14.57570;686.07400;2.74400;36.00000;8,460.00000;0.00088;0.21530;2.18E+19;0.27254;4,518.33640;3,983.76700;15.60300
CNN;Mnist;10;0.99340;0.02154;14.73395;693.07300;2.77200;28.00000;6,580.00000;0.00091;0.23740;1.70E+19;0.28790;3,520.93800;5,112.27400;20.02300
CNN;Fabi;1;0.72299;1.02763;20.33040;35.51300;0.14800;22.00000;242.00000;0.00094;0.30980;6.22E+17;0.46558;1,811.89250;462.94100;1.82100
CNN;Fabi;2;0.77701;0.80556;20.39260;35.40500;0.14700;27.00000;297.00000;0.00094;0.31840;7.64E+17;0.43431;2,248.32080;373.07800;1.46800
CNN;Fabi;3;0.73823;0.82956;20.16570;35.80300;0.14900;20.00000;220.00000;0.00094;0.31240;5.66E+17;0.48874;1,666.96990;503.18800;1.98000
CNN;Fabi;4;0.74377;0.83118;20.33860;35.49900;0.14800;22.00000;242.00000;0.00094;0.30190;6.22E+17;0.47376;1,839.86110;455.90400;1.79400
CNN;Fabi;5;0.70914;1.02662;20.41620;35.36400;0.14700;16.00000;176.00000;0.00097;0.70080;4.53E+17;0.53797;1,334.21980;628.68200;2.47300
CNN;Fabi;6;0.77562;0.78709;20.35120;35.47700;0.14700;29.00000;319.00000;0.00091;0.24710;8.20E+17;0.40704;2,413.22990;347.58400;1.36700
CNN;Fabi;7;0.76454;0.81773;20.32220;35.52800;0.14800;38.00000;418.00000;0.00088;0.20200;1.07E+18;0.35585;3,160.34850;265.41400;1.04400
