Run,eval/accuracy,eval/loss,eval/runtime,eval/samples_per_second,eval/steps_per_second,train/epoch,train/global_step,train/learning_rate,train/loss,train/total_flos,train/train_loss,train/train_runtime,train/train_samples_per_second,train/train_steps_per_second
1,0.72299,1.02763,20.33040,35.51300,0.14800,22.00000,242.00000,0.00094,0.30980,6.22E+17,0.46558,"1,811.89250",462.94100,1.82100
2,0.77701,0.80556,20.39260,35.40500,0.14700,27.00000,297.00000,0.00094,0.31840,7.64E+17,0.43431,"2,248.32080",373.07800,1.46800
3,0.73823,0.82956,20.16570,35.80300,0.14900,20.00000,220.00000,0.00094,0.31240,5.66E+17,0.48874,"1,666.96990",503.18800,1.98000
4,0.74377,0.83118,20.33860,35.49900,0.14800,22.00000,242.00000,0.00094,0.30190,6.22E+17,0.47376,"1,839.86110",455.90400,1.79400
5,0.70914,1.02662,20.41620,35.36400,0.14700,16.00000,176.00000,0.00097,0.70080,4.53E+17,0.53797,"1,334.21980",628.68200,2.47300
6,0.77562,0.78709,20.35120,35.47700,0.14700,29.00000,319.00000,0.00091,0.24710,8.20E+17,0.40704,"2,413.22990",347.58400,1.36700
7,0.76454,0.81773,20.32220,35.52800,0.14800,38.00000,418.00000,0.00088,0.20200,1.07E+18,0.35585,"3,160.34850",265.41400,1.04400
8,0.75762,0.75143,20.25670,35.64200,0.14800,33.00000,363.00000,0.00091,0.25200,9.33E+17,0.38776,"2,722.75780",308.07000,1.21200
9,0.79086,0.82116,20.06150,35.98900,0.15000,32.00000,352.00000,0.00091,0.24540,9.05E+17,0.38867,"2,633.36230",318.52800,1.25300
10,0.95123,0.75208,19.97900,36.13800,0.15000,21.00000,231.00000,0.00094,0.31610,5.94E+17,0.48097,"1,727.38220",485.59000,1.91000
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
