Run,eval/accuracy,eval/loss,eval/runtime,eval/samples_per_second,eval/steps_per_second,train/epoch,train/global_step,train/learning_rate,train/loss,train/total_flos,train/train_loss,train/train_runtime,train/train_samples_per_second,train/train_steps_per_second
1,0.81163,0.62806,19.67270,36.70100,0.15200,20.00000,220.00000,0.00094,0.21530,5.66E+17,0.43069,"1,617.24390",518.66000,2.04100
2,0.79501,0.67733,19.65550,36.73300,0.15300,18.00000,198.00000,0.00097,0.70980,5.09E+17,0.46578,"1,450.56600",578.25700,2.27500
3,0.82133,0.64454,19.78960,36.48400,0.15200,28.00000,308.00000,0.00091,0.16970,7.92E+17,0.36623,"2,249.48010",372.88600,1.46700
4,0.81440,0.64064,19.76750,36.52500,0.15200,21.00000,231.00000,0.00094,0.22000,5.94E+17,0.43088,"1,688.56600",496.75300,1.95400
5,0.79363,0.68351,19.77250,36.51500,0.15200,18.00000,198.00000,0.00097,0.71190,5.09E+17,0.46643,"1,451.05500",578.06200,2.27400
6,0.80609,0.63948,19.70330,36.64400,0.15200,19.00000,209.00000,0.00094,0.21520,5.37E+17,0.45449,"1,529.58870",548.38300,2.15700
7,0.81025,0.67215,19.64570,36.75100,0.15300,24.00000,264.00000,0.00094,0.21660,6.79E+17,0.39728,"1,935.94940",433.27600,1.70500
8,0.82825,0.67296,19.79440,36.47500,0.15200,30.00000,330.00000,0.00091,0.16530,8.48E+17,0.34634,"2,415.15990",347.30600,1.36600
9,0.81440,0.67799,19.67820,36.69000,0.15200,39.00000,429.00000,0.00088,0.14910,1.10E+18,0.29933,"3,135.60140",267.50800,1.05200
10,0.79778,0.67940,19.78140,36.49900,0.15200,25.00000,275.00000,0.00094,0.21590,7.07E+17,0.38946,"2,013.51130",416.58600,1.63900
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
