Run,eval/accuracy,eval/loss,eval/runtime,eval/samples_per_second,eval/steps_per_second,train/epoch,train/global_step,train/learning_rate,train/loss,train/total_flos,train/train_loss,train/train_runtime,train/train_samples_per_second,train/train_steps_per_second
1,0.99240,0.02032,14.72980,678.89700,2.71600,38.00000,"8,930.00000",0.00087,0.22320,2.30E+19,0.27020,"4,748.38830","3,790.76000",14.84700
2,0.99270,0.02067,14.51650,688.86900,2.75500,24.00000,"5,640.00000",0.00092,0.24470,1.45E+19,0.29514,"3,012.95120","5,974.20900",23.39900
3,0.99510,0.01596,14.70370,680.10200,2.72000,33.00000,"7,755.00000",0.00089,0.23270,2.00E+19,0.28048,"4,263.19300","4,222.18700",16.53700
4,0.99350,0.01898,15.10190,662.17000,2.64900,35.00000,"8,225.00000",0.00088,0.22300,2.12E+19,0.27412,"4,381.36850","4,108.30500",16.09100
5,0.99370,0.01975,14.40180,694.35600,2.77700,31.00000,"7,285.00000",0.00090,0.22850,1.88E+19,0.28210,"3,862.46560","4,660.23600",18.25300
6,0.99090,0.02806,14.54050,687.73300,2.75100,22.00000,"5,170.00000",0.00093,0.24460,1.33E+19,0.30265,"2,825.16340","6,371.31300",24.95400
7,0.99470,0.01551,14.42750,693.12300,2.77200,31.00000,"7,285.00000",0.00090,0.22690,1.88E+19,0.28027,"3,991.63580","4,509.42900",17.66200
8,0.99370,0.01873,14.51950,688.72900,2.75500,29.00000,"6,815.00000",0.00090,0.23250,1.76E+19,0.28556,"3,724.41450","4,832.97400",18.92900
9,0.99320,0.01992,14.57570,686.07400,2.74400,36.00000,"8,460.00000",0.00088,0.21530,2.18E+19,0.27254,"4,518.33640","3,983.76700",15.60300
10,0.99340,0.02154,14.73395,693.07300,2.77200,28.00000,"6,580.00000",0.00091,0.23740,1.70E+19,0.28790,"3,520.93800","5,112.27400",20.02300
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
