Run,eval/accuracy,eval/loss,eval/runtime,eval/samples_per_second,eval/steps_per_second,train/epoch,train/global_step,train/learning_rate,train/loss,train/total_flos,train/train_loss,train/train_runtime,train/train_samples_per_second,train/train_steps_per_second,,,
1,0.64437,1.42508,116.73800,193.75900,0.76200,26.00000,"5,356.00000",0.00091,0.79310,1.39E+19,1.26165,"9,524.29140","1,656.91100",6.48900,,,
2,0.65273,1.41005,118.22090,191.32800,0.75300,27.00000,"5,562.00000",0.00091,0.77320,1.44E+19,1.24171,"9,900.05450","1,594.02200",6.24200,,,
3,0.64008,1.41831,116.70170,193.81900,0.76300,25.00000,"5,150.00000",0.00092,0.81840,1.33E+19,1.27676,"9,179.15730","1,719.21000",6.73300,,,
4,0.62359,1.43183,116.75150,193.73600,0.76200,20.00000,"4,120.00000",0.00093,0.92260,1.07E+19,1.38505,"7,310.96660","2,158.52400",8.45300,,,
5,0.63796,1.42000,116.54490,194.08000,0.76400,24.00000,"4,944.00000",0.00092,0.84450,1.28E+19,1.29914,"8,754.70070","1,802.56300",7.05900,,,
6,0.64419,1.42573,116.78470,193.68100,0.76200,26.00000,"5,356.00000",0.00091,0.77880,1.39E+19,1.26213,"9,524.44460","1,656.88400",6.48900,,,
7,0.64459,1.41796,117.30100,192.82900,0.75900,25.00000,"5,150.00000",0.00092,0.81360,1.33E+19,1.27595,"9,205.59350","1,714.27300",6.71300,,,
8,0.65096,1.41956,117.75200,192.09000,0.75600,26.00000,"5,356.00000",0.00091,0.78800,1.39E+19,1.25565,"9,534.33180","1,655.16600",6.48200,,,
9,0.63597,1.43101,117.14040,193.09300,0.76000,24.00000,"4,944.00000",0.00092,0.84720,1.28E+19,1.29879,"8,793.17410","1,794.67600",7.02800,,,
10,0.63734,1.43587, 117.3426,192.76,0.758,24,4944,0.00092,0.8249,1.28E+19,1.29700,8808.464,1791.561,7.016,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
