Type,Run,runtime,memoryAllocated %,runtime_minutes,hours,avg,std,,,,,,,
CNNMnist,10,1815.416259,28.47305085,59.305,,65.4309,9.998178019,,,,,,,
CNNMnist,9,2310.497838,28.51834437,75.916,,,,,,,,,,
CNNMnist,8,1905.482462,28.48306452,62.689,,,,,,,,,,
CNNMnist,7,2040.540069,28.49451128,67.153,,,,,,,,,,
CNNMnist,6,1470.308825,28.43421053,47.699,,,,,,,Row Labels,Average of runtime,Average of memoryAllocated %,
CNNMnist,5,1980.702723,28.48992248,64.994,,,,,,,cnnFabi,1128.620061,28.3794947,
CNNMnist,4,2235.608035,28.52212329,73.64,,,,,,,cnnIp102,4622.718608,28.57612486,
CNNMnist,3,2175.514477,28.5178169,71.664,,,,,,,cnnip102fabi,1023.621181,28.37679994,
CNNMnist,2,1560.496856,28.2449505,51.12,,,,,,,CNNMnist,1992.5479,28.45533406,
CNNMnist,1,2430.911458,28.37534591,80.129,,,,,,,Grand Total,2191.876937,28.44693839,
ViTMnist,10,12689.56661,94.20474259,212.82,3.547,364.452,160.924353,,,,,,,
ViTMnist,9,12450.95726,94.22501214,319.56,5.326,,,,,,,,,
ViTMnist,8,14302.55315,94.14810982,354.48,5.908,,,,,,,,,
ViTMnist,7,22405.04968,94.27589226,319.56,5.326,,,,,,,,,
ViTMnist,6,11105.80695,94.12896599,414,6.9,,,,,,,,,
ViTMnist,5,6402.812736,94.12508274,745.92,12.432,,,,,,,,,28.44693839
ViTMnist,4,10662.62636,94.2070255,334.02,5.567,,,,,,,,,
ViTMnist,3,9608.619577,94.18441824,369.3,6.155,,,,,,,,,
ViTMnist,2,10050.74704,94.08894737,475.92,7.932,,,,,,,,,
ViTMnist,1,19015.50203,94.20307937,98.94,1.649,,,,,,,,,
cnnip102fabi,10,1050.799606,28.42850746,34.001,,32.87494,8.472278935,,,,,,,
cnnip102fabi,9,1620.70929,28.51457143,52.7,,,,,,,,,,
cnnip102fabi,8,1260.53216,28.47197531,40.693,,,,,,,,,,
cnnip102fabi,7,1020.48414,28.39384615,32.706,,,,,,,,,,
cnnip102fabi,6,810.7096278,28.34960784,25.933,,,,,,,,,,
cnnip102fabi,5,780.307678,28.30081633,24.626,,,,,,,,,,
cnnip102fabi,4,885.7709522,28.34857143,28.0584,,,,,,,,,,
cnnip102fabi,3,1170.794632,28.4516,37.935,,,,,,,,,,
cnnip102fabi,2,780.3079247,28.33183673,24.616,,,,,,,,,,
cnnip102fabi,1,855.7957992,28.17666667,27.481,,,,,,,,,,
vitip102fabi,10,1185.544761,94.32421053,47.614,,39.9948,6.76324963,,,,,,,
vitip102fabi,9,1455.81867,94.96861702,56.086,,,,,,,,,,
vitip102fabi,8,1710.822659,95.02135135,40.806,,,,,,,,,,
vitip102fabi,7,1260.631862,94.78407407,34.832,,,,,,,,,,
vitip102fabi,6,1080.63336,94.71942029,38.196,,,,,,,,,,
vitip102fabi,5,1185.565131,94.69171053,38.161,,,,,,,,,,
vitip102fabi,4,1185.705424,94.72592105,31.309,,,,,,,,,,
vitip102fabi,3,975.5881002,94.51967742,34.72,,,,,,,,,,
vitip102fabi,2,1080.522694,94.63333333,38.19,,,,,,,,,,
vitip102fabi,1,1230.794873,94.37670886,40.034,,,,,,,,,,
cnnFabi,10,915.5323339,28.38431034,29.255,,36.4231,9.038685706,,,,,,,
cnnFabi,9,1365.723067,28.46818182,44.357,,,,,,,,,,
cnnFabi,8,1410.709075,28.47747253,45.849,,,,,,,,,,
cnnFabi,7,1620.837267,28.49466667,53.144,,,,,,,,,,
cnnFabi,6,1260.58213,28.46037037,40.702,,,,,,,,,,
cnnFabi,5,720.4034698,28.26555556,22.706,,,,,,,,,,
cnnFabi,4,975.4106394,28.37903226,31.133,,,,,,,,,,
cnnFabi,3,885.5430248,28.34821429,28.247,,,,,,,,,,
cnnFabi,2,1170.758289,28.43173333,37.946,,,,,,,,,,
cnnFabi,1,960.7013111,28.08540984,30.892,,,,,,,,,,
vitFabi,10,1230.624459,94.76303797,37.764,,47.044,9.825522225,,,,,,,
vitFabi,9,1260.686995,94.78345679,40.88,,,,,,,,,,
vitFabi,8,1215.543446,94.75179487,39.182,,,,,,,,,,
vitFabi,7,1710.834409,94.96711712,56.128,,,,,,,,,,
vitFabi,6,1140.513971,94.68931507,36.658,,,,,,,,,,
vitFabi,5,1440.761576,94.82978495,46.934,,,,,,,,,,
vitFabi,4,1336.088223,94.76302326,43.525,,,,,,,,,,
vitFabi,3,1755.810395,95.0372807,57.25,,,,,,,,,,
vitFabi,2,1335.80609,94.3377907,43.61,,,,,,,,,,
vitFabi,1,2085.512761,94.91382353,68.509,,,,,,,,,,
cnnIp102,10,4501.08881,28.58942761,149.202,,153.3474,11.35852918,,,,,,,
cnnIp102,9,4485.875474,28.58908784,148.943,,,,,,,,,,
cnnIp102,8,4861.152341,28.59604361,161.314,,,,,,,,,,
cnnIp102,7,4695.914555,28.59309677,155.826,,,,,,,,,,
cnnIp102,6,4861.210099,28.59610592,155.374,,,,,,,,,,
cnnIp102,5,4470.857025,28.58864407,161.129,,,,,,,,,,
cnnIp102,4,3765.905735,28.48810484,148.301,,,,,,,,,,
cnnIp102,3,4680.870316,28.59294498,167.416,,,,,,,,,,
