Run,eval/accuracy,eval/loss,eval/runtime,eval/samples_per_second,eval/steps_per_second,train/epoch,train/global_step,train/learning_rate,train/loss,train/total_flos,train/train_loss,train/train_runtime,train/train_samples_per_second,train/train_steps_per_second
1,0.81717,0.58984,21.48320,33.60800,0.14000,40.00000,440.00000,0.00088,0.17070,8.67E+18,0.37883,"4,084.79040",205.34700,0.80800
2,0.82133,0.58294,21.16790,34.10800,0.14200,25.00000,275.00000,0.00094,0.29400,5.42E+18,0.49772,"2,575.93310",325.63000,1.28100
3,0.81994,0.58404,21.03120,34.33000,0.14300,33.00000,363.00000,0.00091,0.21970,7.15E+18,0.46446,"3,404.51390",246.37900,0.96900
4,0.82410,0.59119,21.40140,33.73600,0.14000,25.00000,275.00000,0.00094,0.27710,5.42E+18,0.49278,"2,579.32710",325.20100,1.27900
5,0.81302,0.60565,21.11150,34.19900,0.14200,27.00000,297.00000,0.00094,0.29800,5.85E+18,0.50338,"2,784.20190",301.27100,1.18500
6,0.81856,0.62925,21.66060,33.33200,0.13900,21.00000,231.00000,0.00094,0.28350,4.55E+18,0.58844,"2,168.32240",386.84300,1.52200
7,0.84349,0.58106,20.93710,34.48400,0.14300,33.00000,363.00000,0.00091,0.21720,7.15E+18,0.45318,"3,337.39910",251.33300,0.98900
8,0.80332,0.58118,20.78830,34.73100,0.14400,23.00000,253.00000,0.00094,0.28520,4.99E+18,0.51018,"2,320.93120",361.40700,1.42200
9,0.81440,0.64262,20.82610,34.66800,0.14400,24.00000,264.00000,0.00094,0.28850,5.20E+18,0.51469,"2,422.81370",346.20900,1.36200
10,0.79917,0.65852,20.75560,34.78600,0.14500,23.00000,253.00000,0.00094,0.28430,4.99E+18,0.54213,"2,355.69540",356.07300,1.40100
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
