Run,eval/accuracy,eval/loss,eval/runtime,eval/samples_per_second,eval/steps_per_second,train/epoch,train/global_step,train/learning_rate,train/loss,train/total_flos,train/train_loss,train/train_runtime,train/train_samples_per_second,train/train_steps_per_second
1,0.82410,0.52841,21.11260,34.19800,0.14200,23.00000,253.00000,0.00094,0.21010,4.99E+18,0.37368,"2,367.87910",354.24100,1.39400
2,0.83795,0.54155,21.41210,33.71900,0.14000,20.00000,220.00000,0.00094,0.20330,4.34E+18,0.40607,"2,053.00750",408.57100,1.60700
3,0.81440,0.59488,21.16370,34.11500,0.14200,18.00000,198.00000,0.00097,0.64630,3.90E+18,0.43075,"1,849.17290",453.60800,1.78500
4,0.82825,0.54608,21.28220,33.92500,0.14100,22.00000,242.00000,0.00094,0.21060,4.77E+18,0.38393,"2,259.38920",371.25100,1.46100
5,0.81025,0.58746,21.04490,34.30800,0.14300,22.00000,242.00000,0.00094,0.21730,4.77E+18,0.38540,"2,258.39820",371.41400,1.46100
6,0.82410,0.55509,21.10870,34.20400,0.14200,20.00000,220.00000,0.00094,0.19600,4.34E+18,0.40396,"2,058.69000",407.44400,1.60300
7,0.81025,0.67215,19.64570,36.75100,0.15300,24.00000,264.00000,0.00094,0.21660,6.79E+17,0.39728,"1,935.94940",433.27600,1.70500
8,0.79778,0.62497,20.71590,34.85300,0.14500,24.00000,264.00000,0.00094,0.20750,5.20E+18,0.36259,"2,418.75210",346.79000,1.36400
9,0.82271,0.55917,20.73380,34.82200,0.14500,33.00000,363.00000,0.00091,0.17310,7.15E+18,0.30525,"3,336.02030",251.43700,0.98900
10,0.83795,0.59744,20.99740,34.38500,0.14300,28.00000,308.00000,0.00091,0.16950,6.07E+18,0.33497,"2,827.87800",296.61800,1.16700
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
