Run,eval/accuracy,eval/loss,eval/runtime,eval/samples_per_second,eval/steps_per_second,train/epoch,train/global_step,train/learning_rate,train/loss,train/total_flos,train/train_loss,train/train_runtime,train/train_samples_per_second,train/train_steps_per_second
1,0.99420,0.01733,35.80620,279.28100,1.11700,72.00000,"16,920.00000",0.00076,0.24730,3.35E+20,0.34603,"37,903.75110",474.88700,1.86000
2,0.99060,0.03034,35.67430,280.31400,1.12100,38.00000,"8,930.00000",0.00087,0.32030,1.77E+20,0.51657,"19,966.84610",901.49400,3.53100
3,0.99150,0.02704,36.04350,277.44200,1.11000,36.00000,"8,460.00000",0.00088,0.26570,1.67E+20,0.34772,"19,107.04020",942.06100,3.69000
4,0.99050,0.03027,35.94570,278.19800,1.11300,40.00000,"9,400.00000",0.00087,0.29020,1.86E+20,0.34866,"21,204.77470",848.86500,3.32500
5,0.99100,0.02905,35.79600,279.36100,1.11700,24.00000,"5,640.00000",0.00092,0.31260,1.12E+20,0.37274,"12,707.41100","1,416.49600",5.54800
6,0.99180,0.02371,35.73270,279.85600,1.11900,42.00000,"9,870.00000",0.00086,0.25960,1.95E+20,0.33421,"22,080.92240",815.18300,3.19300
7,0.99340,0.02199,35.51000,281.61100,1.12600,85.00000,"19,975.00000",0.00072,0.24420,3.95E+20,0.38586,"44,696.11960",402.72000,1.57700
8,0.99120,0.02763,36.30500,275.44400,1.10200,47.00000,"11,045.00000",0.00084,0.26110,2.19E+20,0.33710,"5,847.92330",731.21800,2.82700
9,0.99460,0.01641,35.89460,278.59400,1.11400,54.00000,"12,690.00000",0.00082,0.25520,2.51E+20,0.36678,"28,470.33680",632.23700,2.47600
10,0.99200,0.02267,35.31200,283.19300,1.13300,47.00000,"11,045.00000",0.00084,0.2524,2.19E+20,0.32260,"24,780.43870",726.37900,2.84500
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
