Run,eval/accuracy,eval/loss,eval/runtime,eval/samples_per_second,eval/steps_per_second,train/epoch,train/global_step,train/learning_rate,train/loss,train/total_flos,train/train_loss,train/train_runtime,train/train_samples_per_second,train/train_steps_per_second,,,
1,0.64021,1.35570,156.45000,144.57700,0.56900,17.00000,"3,502.00000",0.00094,0.68060,6.94E+19,1.10621,"12,523.77870","1,260.07500",4.93500,,,
2,0.64048,1.36015,161.83850,139.76300,0.55000,19.00000,"3,914.00000",0.00094,0.63120,7.75E+19,1.05684,"14,017.33990","1,125.81300",4.40900,,,
3,0.63509,1.35775,157.56160,143.55700,0.56500,17.00000,"3,502.00000",0.00094,0.69070,6.94E+19,1.10479,"12,596.35820","1,252.81400",4.90600,,,
4,0.64720,1.33216,157.20280,143.88400,0.56600,20.00000,"4,120.00000",0.00093,0.60090,8.16E+19,1.02887,"14,725.64490","1,071.66100",4.19700,,,
5,0.64216,1.36687,156.72820,144.32000,0.56800,20.00000,"4,120.00000",0.00093,0.62570,8.16E+19,1.03416,"14,724.75890","1,071.72600",4.19700,,,
6,0.63840,1.34175,157.12200,143.95800,0.56600,16.00000,"3,296.00000",0.00095,0.68590,6.53E+19,1.13681,"11,790.17710","1,338.47900",5.24200,,,
7,0.64605,1.35728,156.25700,144.75500,0.57000,19.00000,"3,914.00000",0.00094,1.05030,7.75E+19,1.05030,"14,155.10110","1,114.85600",4.36600,,,
8,0.64061,1.34045,157.29290,143.80200,0.56600,18.00000,"3,708.00000",0.00094,0.66110,7.34E+19,1.07029,"13,285.26310","1,187.85000",4.65200,,,
9,0.65321,1.33453,157.49740,143.61500,0.56500,20.00000,"4,120.00000",0.00093,0.61960,8.16E+19,1.03337,"14,765.19950","1,068.79000",4.18600,,,
10,0.63053,1.35535,156.84000,144.21700,0.56700,15.00000,"3,090.00000",0.00095,0.70910,6.12E+19,1.16175,"11,073.94100","1,425.04800",5.58100,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
